hospital_name,county,level,ownership
Kaka Medical Clinic,Kakamega,Level 2,Private Practice - Medical Specialist
KOPANGA DISPENSARY,Migori,Level 2,Ministry of Health
Fairview Medical Centre,Nairobi,Level 2,Private Practice - Unspecified
RADIANT GROUP OF HOSPITALS-UMOJA,Nairobi,Level 3,Private Practice - Unspecified
Songot Medical Clinic,Turkana,Level 2,Private Practice - Nurse / Midwifery
Vital Solutions Health Centre,Narok,Level 3,Non-Governmental Organizations
St.Ann's Catholic Dispensary Kapsorok,Kericho,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Ankara Medical Centre,Garissa,Level 2,Private Practice - Clinical Officer
George Mudenyo Kadima Nasio Trust (Mumias West),Kakamega,Level 2,Private Practice - Clinical Officer
Nazareth Medical Services-Githurai,Nairobi,Level 2,Private Practice - Clinical Officer
Penda Medical Care-Kahawa West,Nairobi,Level 2,Private Practice - General Practitioner
The Mater Hospital-Satelite Clinic(TRM),Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
NAMUNYAK MEDICAL CENTRE,Kajiado,Level 2,Private Practice - Nurse / Midwifery
THE MAZIRA MEMORIAL HOSPITAL,Kajiado,Level 2,Private Company
PREMIERCARE DIAGNOSTICS NAROK LIMITED,Narok,Level 4,Private Company
Itoleka Smartext Medical Services,Kitui,Level 2,Private Practice - Clinical Officer
Africare Limited Embakasi Clinic,Nairobi,Level 2,Private Enterprise (Institution)
AVENUE HEALTHCARE GREENSPAN,Nairobi,Level 3,Private Enterprise (Institution)
Yalatani Dispensary,Kitui,Level 2,Ministry of Health
Musuani Mdc,Kitui,Level 2,Private Practice - General Practitioner
Musuani Medical Centre,Kitui,Level 2,Private Practice - General Practitioner
Muthangira Dispensary,Nyeri,Level 2,Ministry of Health
ST.TRESA'S OLK MEDICAL CLINIC,Nyandarua,Level 2,Private Practice - Clinical Officer
Kericho Medical Clinic,Kericho,Level 2,Private Practice - Medical Specialist
Orion Healthcare Medical Centre,Busia,Level 2,Private Practice - Medical Specialist
COMMUNITY HEALTH SERVICE,Murang'A,Level 2,Private Practice - Nurse / Midwifery
Kilele Medical Specialist Centre,Nairobi,Level 2,Private Practice - Medical Specialist
Sanctuary Rains Medical Centre,Nairobi,Level 3,Private Practice - Clinical Officer
Highway Medical Clinic Mukuyuni,Bungoma,Level 2,Private Practice - Clinical Officer
ScanHealth Limited-Kericho,Kericho,Level 2,Private Practice - Medical Specialist
Aimo Dispensary,Homa Bay,Level 2,Ministry of Health
Saika Community Medical Centre,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Selina's Health Care,Nairobi,Level 3,Private Practice - Nurse / Midwifery
Naagis Dispensary,Turkana,Level 2,Public Institution
Oasis Doctors Plaza Nairobi Green House,Nairobi,Level 2,Private Practice - Medical Specialist
Karen Roses Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
South C Hospital Limited(South C),Nairobi,Level 3,Private Enterprise (Institution)
Our Mother of Perpetual Help Bamba Catholic Dispensary,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Nasianda,Trans Nzoia,Level 2,Ministry of Health
Gynocare womens &fistula hospital,Uasin Gishu,Level 4,Private Practice - Medical Specialist
Quality care medical clinic,Uasin Gishu,Level 2,Private Practice - Nurse / Midwifery
Katsakakairu Disp,Lamu,Level 2,Ministry of Health
Uziwa Dispensary,Lamu,Level 2,Ministry of Health
Dago,Kisumu,Level 2,Ministry of Health
South C Dialysis Centre,Nairobi,Level 2,Private Company
Tewe Dispensary,Lamu,Level 2,Ministry of Health
Sinambio Disp,Lamu,Level 2,Ministry of Health
MaishaMaish  Dispensary,Lamu,Level 2,Ministry of Health
Holsoms Nursing Home,Nyamira,Level 3,Private Practice - Clinical Officer
Chepsoo Medical Centre,Nandi,Level 2,Private Practice - General Practitioner
Agahkan Ngong Clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Gertrude's Children Hospital-Thika Rd,Nairobi,Level 2,Private Practice - General Practitioner
Equity Afia Kayole,Nairobi,Level 2,Company Medical Service
Lomunyenekirionok dispensary,Turkana,Level 2,Ministry of Health
Rushi Medical Clinic,Busia,Level 2,Private Practice - Nurse / Midwifery
Blissfam medical centre,Kilifi,Level 2,Private Practice - General Practitioner
st Angela Medical Centre,Kakamega,Level 2,Private Practice - Clinical Officer
Bethlehem Home Hospital,Kisumu,,Private Practice - Clinical Officer
HEARTLANDS MEDICAL CENTRE,Narok,Level 2,Private Practice - Clinical Officer
Bliss M Clinic,Kakamega,Level 2,Private Practice - Clinical Officer
Jimba Dispensary,Kilifi,Level 2,Ministry of Health
Rungut Dispensary,Kericho,Level 2,Public Institution
Hope care medical centre,Kajiado,Level 2,Private Practice - Clinical Officer
MASAKA DISPENSARY,Kakamega,Level 2,Ministry of Health
EREGI TTC CLINIC,Kakamega,Level 2,Non-Governmental Organizations
LUKANJI HEALTH CLINIC,Kakamega,Level 2,Non-Governmental Organizations
Bahati Hospital - Malaa,Machakos,Level 2,Private Practice - Clinical Officer
Eastern Afya Medical Centre,Machakos,Level 2,Private Practice - Nurse / Midwifery
Ruai Family Hospital - Tala,Machakos,Level 3,Private Practice - Medical Specialist
Lwakhakha Dispensary,Bungoma,Level 2,Public Institution
Get Well Clinic,Kisumu,Level 2,Private Practice - Clinical Officer
OTIENDE OUTPATIENT CLINIC,Homa Bay,Level 2,Private Practice - Clinical Officer
KOTIENDE OUPATIENT CLINIC,Homa Bay,Level 2,Private Practice - Clinical Officer
Afya Bora Clinic(Busia),Busia,Level 2,Private Practice - Clinical Officer
TOGONYE DISPENSARY,Kirinyaga,Level 2,Ministry of Health
Wananchi Clinic and Optician,Embu,Level 2,Private Practice - Clinical Officer
MAMAS NURSING HOME,Homa Bay,Level 2,Non-Governmental Organizations
MAISHA CLINIC NDHIWA,Homa Bay,Level 2,Non-Governmental Organizations
