Centre Name,County,Location,Opening Hours
GPO Huduma Centre,Nairobi City,Teleposta Building Kenyatta Avenue,Mon-Fri 7:00-19:00
City Square Huduma Centre,Nairobi City,Haile Selassie Next to Technical University of Kenya,Mon-Fri 7:00-19:00
Baringo Huduma Centre,Baringo,County Commissioner Office Kabarnet Town,Mon-Fri 8:00-17:00
Bomet Huduma Centre,Bomet,County Commissioner's Office Bomet Town,Mon-Fri 8:00-17:00
Bungoma Huduma Centre,Bungoma,Post Office Moi Avenue Road Bungoma Town,Mon-Fri 8:00-17:00
Busia Huduma Centre,Busia,Post Office Opposite Government Offices,Mon-Fri 8:00-17:00
Eastleigh Huduma Centre,Nairobi City,Eastleigh Eleventh Street,Mon-Fri 7:00-19:00
Elgeyo Marakwet Huduma Centre,Elgeyo Marakwet,Iten Town,Mon-Fri 8:00-17:00
Embu Huduma Centre,Embu,Post Office Next to County Commissioner’s Office Meru-Nairobi Highway,Mon-Fri 7:00-19:00
Garissa Huduma Centre,Garissa,County Commissioner Office Garissa Town,Mon-Fri 8:00-17:00
Homabay Huduma Centre,Homa Bay,County Commissioner Office Next to County Assembly,Mon-Fri 8:00-17:00
Isiolo Huduma Centre,Isiolo,Post Office Hospital Road Off Isiolo-Marsabit Highway,Mon-Fri 8:00-17:00
Kwale Huduma Centre,Kwale,Kwale-Kinango Road Opposite National Police Service,Mon-Fri 8:00-17:00
Laikipia Huduma Centre,Laikipia,County Commissioner Office Nanyuki Town,Mon-Fri 7:00-19:00
Laikipia East Makutano Huduma Centre,Laikipia,Nyeri-Nyahururu Road at Wiyumiririe,Mon-Fri 8:00-17:00
Lamu Huduma Centre,Lamu,Old Jetty Next to County Commissioner Office Kenyatta Road,Mon-Fri 8:00-17:00
Machakos Huduma Centre,Machakos,Post Office Opposite Cathedral Church Machakos,Mon-Fri 8:00-17:00
Makadara Huduma Centre,Nairobi City,City County Offices Eastlands Revenue Building Off Jogoo Road,Mon-Fri 7:00-19:00
Makueni Huduma Centre,Makueni,Post Office Next to County Commissioner Office Wote,Mon-Fri 8:00-17:00
Mandera Huduma Centre,Mandera,Mandera Central,Mon-Fri 8:00-17:00
Marsabit Huduma Centre,Marsabit,Post Office Road Marsabit Town,Mon-Fri 8:00-17:00
Meru Huduma Centre,Meru,Post Office Opposite County Commissioner Office Meru-Makutano Highway,Mon-Fri 7:00-19:00
Migori Huduma Centre,Migori,County Commissioner Office Migori Town,Mon-Fri 8:00-17:00
Mombasa Huduma Centre,Mombasa,General Post Office Opposite Safaricom Customer Care Digo Road,Mon-Fri 7:00-19:00
Muranga Huduma Centre,Muranga,County Commissioner Office Muranga Town,Mon-Fri 8:00-17:00
Nakuru Huduma Centre,Nakuru,General Post Office Next to Merica Hotel Kenyatta Avenue,Mon-Fri 7:00-19:00
Nandi Huduma Centre,Nandi,Post Office Kapsabet Town,Mon-Fri 8:00-17:00
Narok Huduma Centre,Narok,Post Office Olerorat House Narok Town Narok-Nairobi Highway,Mon-Fri 8:00-17:00
Nyamira Huduma Centre,Nyamira,Post Office Konate-Nyamira Road,Mon-Fri 8:00-17:00
Nyandarua Huduma Centre,Nyandarua,County Commissioner’s Office Olkalau Township,Mon-Fri 8:00-17:00
Nyeri Huduma Centre,Nyeri,Former Provincial Commissioner’s Office Nyeri Town,Mon-Fri 7:00-19:00
Samburu Huduma Centre,Samburu,General Post Office Maralal,Mon-Fri 8:00-17:00
Siaya Huduma Centre,Siaya,Post Office Kisumu-Busia Highway Opposite KCB,Mon-Fri 8:00-17:00
Taita Taveta Huduma Centre,Taita Taveta,CDF Office Wundanyi,Mon-Fri 8:00-17:00
Tana River Huduma Centre,Tana River,County Commissioner’s Office Hola Town,Mon-Fri 8:00-17:00
Tharaka Nithi Huduma Centre,Tharaka Nithi,County Commissioner’s Office Chuka Town,Mon-Fri 8:00-17:00
Turkana Huduma Centre,Turkana,County Commissioner’s Office Lodwar,Mon-Fri 8:00-17:00
Uasin Gishu Huduma Centre,Uasin Gishu,Post Office Eldoret-Kitale Road Eldoret Town,Mon-Fri 7:00-19:00
Vihiga Huduma Centre,Vihiga,County Commissioner Office Vihiga Town,Mon-Fri 8:00-17:00
Wajir Huduma Centre,Wajir,County Commissioner’s Office Next to County Assembly Wajir,Mon-Fri 8:00-17:00
West Pokot Huduma Centre,West Pokot,Makutano Town near Kapenguria,Mon-Fri 8:00-17:00
Kajiado Huduma Centre,Kajiado,Post Office Nairobi-Namanga Highway,Mon-Fri 8:00-17:00
Kajiado West Huduma Centre,Kajiado,Kisamis Town along Ngong-Magadi Road,Mon-Fri 8:00-17:00
Kakamega Huduma Centre,Kakamega,Post Office Kakamega-Kisumu Highway,Mon-Fri 7:00-19:00
Kericho Huduma Centre,Kericho,Ardhi House Temple Street Kericho Town,Mon-Fri 7:00-19:00
Kiambu Huduma Centre,Kiambu,Assistant County Commissioner Office Opposite Thika Stadium Thika Town,Mon-Fri 7:00-19:00
Kibra Huduma Centre,Nairobi City,County Commissioner’s Office Kibera Drive,Mon-Fri 7:00-19:00
Kilifi Huduma Centre,Kilifi,County Commissioner Office Kilifi Town,Mon-Fri 8:00-17:00
Kirinyaga Huduma Centre,Kirinyaga,County Commissioner Office Kerugoya Town,Mon-Fri 8:00-17:00
Kisii Huduma Centre,Kisii,Post Office Kisii-Migori Road Kisii Town,Mon-Fri 7:00-19:00
Kisumu Huduma Centre,Kisumu,Former PC Office Prosperity House Next to Central Bank,Mon-Fri 7:00-19:00
Kitale Huduma Centre,Trans Nzoia,Kitale Post Office Mak-Asembo Road,Mon-Fri 7:00-19:00
Kitui Huduma Centre,Kitui,Post Office Opposite Catholic Church Kitui Town,Mon-Fri 8:00-17:00
Chuka Igamba Ngombe Huduma Centre,Tharaka Nithi,County Commissioner’s Office,Mon-Fri 8:00-17:00
Marimanti Tharaka Huduma Centre,Tharaka Nithi,Deputy County Commissioner’s Office Marimanti,Mon-Fri 8:00-17:00
Maara Huduma Centre,Tharaka Nithi,Near Deputy County Commissioner’s Office Maara,Mon-Fri 8:00-17:00
Kamwangi Huduma Centre,Kiambu,Kamwangi Town Gatundu North Sub County,Mon-Fri 8:00-17:00
Kisumu West Huduma Centre,Kisumu,Deputy County Commissioner’s Grounds Ojola,Mon-Fri 8:00-17:00
Mogotio Huduma Centre,Baringo,Deputy County Commissioner’s Grounds Mogotio,Mon-Fri 8:00-17:00
